UCH_LEVEL_G,FSCL_WK_END_DT,KHC_FSCL_YR_WK_VAL,LAST_52WK_FSCL_WK_BGN_DT_FSCL_YR_WK_VAL,LAST_52WK_FSCL_WK_BGN_DT,BASECODE,TY_AVG_STORE_WEIGHT_IN_DIV,TY_SELLING_STR_CNT_IN_DIV,TY_STORE_COUNT_IN_DIV,TY_DIV_TDP,TY_DIV_SALES_DOLLARS,TY_DIV_SALES_UNITS,TY_DIV_AVG_UNIT_PRICE,TY_L52WK_DIV_SALES_DOLLARS_TOTAL,TY_L52WK_DIV_SALES_UNITS_TOTAL,TY_L52WK_DIV_AVG_UNIT_PRICE,LY_1_AVG_STORE_WEIGHT_IN_DIV,LY_1_SELLING_STR_CNT_IN_DIV,LY_1_STORE_COUNT_IN_DIV,LY_1_DIV_TDP,LY_1_DIV_SALES_DOLLARS,LY_1_DIV_SALES_UNITS,LY_1_DIV_AVG_UNIT_PRICE,LY_1_L52WK_DIV_SALES_DOLLARS_TOTAL,LY_1_L52WK_DIV_SALES_UNITS_TOTAL,LY_1_L52WK_DIV_AVG_UNIT_PRICE,TY_R13WK_AVG_DIV_TDP,LY_1_R13WK_AVG_DIV_TDP,TY_R52WK_AVG_DIV_TDP,LY_1_R52WK_AVG_DIV_TDP,TY_R13WK_MAX_DIV_UNIT_PRICE,LY_1_R13WK_MAX_DIV_UNIT_PRICE,TY_R52WK_MAX_DIV_UNIT_PRICE,LY_1_R52WK_MAX_DIV_UNIT_PRICE
CA4000431,2018-09-22,201838,201739,2017-09-24,000000681000011800,0.000733137829912024,431,1364,0.448379190167044,3043.760000000000000,889.000000000000000,3.423802024746907,164476.919999999999769,48457.000000000000000,3.394286068060342,0.000733137829912019,409,1364,0.439450954009082,2919.390000000000001,824.000000000000000,3.542949029126214,120070.850000000000013,35537.000000000000000,3.378755944508540,0.472973440516399615,0.473568470025350000,0.430353426210395115,0.472557063691285611,4.424829931972789,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-09-29,201839,201740,2017-10-01,000000681000011800,0.000733137829912019,264,1364,0.277852135028620,1923.579999999999991,429.000000000000000,4.483869463869464,163481.109999999999759,48062.000000000000000,3.401462902084807,0.000733137829912022,346,1364,0.358995419535857,2245.389999999999987,651.000000000000000,3.449139784946237,122316.240000000000000,36188.000000000000000,3.380022106775727,0.445842132819846384,0.463019237976795692,0.427245756614617000,0.469487830065463216,4.483869463869464,3.556605744125326,4.497287581699346,3.828005427408412
CA4000431,2018-10-06,201840,201741,2017-10-08,000000681000011800,0.000733137829912020,394,1364,0.420608603938846,2704.269999999999991,764.000000000000000,3.539620418848168,163939.989999999999763,48175.000000000000000,3.403009652309289,0.000733137829912025,365,1364,0.392268717323701,2477.350000000000001,743.000000000000000,3.334253028263795,124793.590000000000001,36931.000000000000000,3.379101297013349,0.445650867758381538,0.454888146163987153,0.428430625545443711,0.467455748151206315,4.483869463869464,3.556605744125326,4.497287581699346,3.828005427408412
CA4000431,2018-10-13,201841,201742,2017-10-15,000000681000011800,0.000733137829912034,298,1364,0.310938434346120,2150.649999999999995,512.000000000000000,4.200488281250000,163613.289999999999757,47944.000000000000000,3.412591565159353,0.000733137829912015,458,1364,0.462615411345664,3130.420000000000000,940.000000000000000,3.330234042553191,127924.010000000000001,37871.000000000000000,3.377888357846373,0.427887431968625538,0.452176538262108307,0.426866581642028692,0.467331636951064205,4.483869463869464,3.556605744125326,4.497287581699346,3.828005427408412
CA4000431,2018-10-20,201842,201743,2017-10-22,000000681000011800,0.000733137829912024,597,1364,0.609706041162731,5315.049999999999984,2091.000000000000000,2.541869918699187,165797.919999999999741,49095.000000000000000,3.377083613402587,0.000733137829912023,423,1364,0.443623911390922,3099.599999999999996,957.000000000000000,3.238871473354232,131023.609999999999997,38828.000000000000000,3.374461986195529,0.444350326345773384,0.446052264155358769,0.429695247600049211,0.466738943812060650,4.483869463869464,3.556605744125326,4.497287581699346,3.828005427408412
CA4000431,2018-10-27,201843,201744,2017-10-29,000000681000011800,0.000733137829912031,307,1364,0.325707511934752,2201.359999999999999,488.000000000000000,4.510983606557377,164899.679999999999744,48626.000000000000000,3.391183317566734,0.000733137829912027,420,1364,0.437337832452508,2825.179999999999996,853.000000000000000,3.312051582649472,133848.789999999999993,39681.000000000000000,3.373120385070941,0.419949345304425153,0.440121744777134384,0.427427624533584403,0.466021843534998390,4.510983606557377,3.556605744125326,4.510983606557377,3.828005427408412
CA4000431,2018-11-03,201844,201745,2017-11-05,000000681000011800,0.000733137829912020,305,1364,0.322692122527609,2254.250000000000002,512.000000000000000,4.402832031250000,164328.749999999999750,48285.000000000000000,3.403308480894688,0.000733137829912030,351,1364,0.365480737655926,2382.590000000000000,671.000000000000000,3.550804769001490,136231.379999999999993,40352.000000000000000,3.376075039651071,0.417227835025190692,0.430888125119344000,0.425222899342720961,0.463628007680734761,4.510983606557377,3.556605744125326,4.510983606557377,3.828005427408412
CA4000431,2018-11-10,201845,201746,2017-11-12,000000681000011800,0.000733137829912016,398,1364,0.411106788430184,3046.380000000000003,801.000000000000000,3.803220973782772,164992.539999999999753,48415.000000000000000,3.407880615511722,0.000733137829912030,357,1364,0.373872572343719,2256.960000000000000,624.000000000000000,3.616923076923077,138488.339999999999993,40976.000000000000000,3.379742776259274,0.403431013150518615,0.424496178282500615,0.426100323396072076,0.461540671975222767,4.510983606557377,3.616923076923077,4.510983606557377,3.828005427408412
CA4000431,2018-11-17,201846,201747,2017-11-19,000000681000011800,0.000733137829912030,590,1364,0.599558183207267,4909.070000000000000,1912.000000000000000,2.567505230125523,167644.649999999999753,49703.000000000000000,3.372928193469207,0.000733137829912028,371,1364,0.397635244603094,2594.420000000000000,713.000000000000000,3.638737727910238,141082.759999999999993,41689.000000000000000,3.384172323634532,0.421864320769109384,0.420015585116162769,0.430440431297294153,0.460088275898583477,4.510983606557377,3.638737727910238,4.510983606557377,3.828005427408412
CA4000431,2018-11-24,201847,201748,2017-11-26,000000681000011800,0.000733137829912021,359,1364,0.368275290146313,2563.670000000000000,660.000000000000000,3.884348484848485,167613.899999999999753,49650.000000000000000,3.375909365558912,0.000733137829912020,459,1364,0.478092218436647,3484.799999999999998,1027.000000000000000,3.393184031158715,144567.559999999999991,42716.000000000000000,3.384388987732934,0.402815492924387384,0.421293425676350846,0.429875816788509903,0.460488363510540444,4.510983606557377,3.638737727910238,4.510983606557377,3.828005427408412
CA4000431,2018-12-01,201848,201749,2017-12-03,000000681000011800,0.000733137829912009,435,1364,0.459425907047187,3263.750000000000000,953.000000000000000,3.424711437565582,167392.849999999999755,49576.000000000000000,3.376489632080039,0.000733137829912008,292,1364,0.297758249925911,2031.220000000000008,475.000000000000000,4.276252631578947,146598.779999999999999,43191.000000000000000,3.394197402236577,0.418119801540050923,0.407227876063068307,0.429516849261789519,0.456950752345657195,4.510983606557377,4.276252631578947,4.510983606557377,4.276252631578947
CA4000431,2018-12-08,201849,201750,2017-12-10,000000681000011800,0.000733137829912036,268,1364,0.279487816516556,2035.769999999999997,453.000000000000000,4.493973509933775,167397.399999999999744,49554.000000000000000,3.378080477862534,0.000733137829912027,444,1364,0.460258195977787,3119.340000000000004,931.000000000000000,3.350526315789474,149718.120000000000003,44122.000000000000000,3.393275916776211,0.394261293460362076,0.410314280124000846,0.429165494773148076,0.457021123486766340,4.510983606557377,4.276252631578947,4.510983606557377,4.276252631578947
CA4000431,2018-12-15,201850,201751,2017-12-17,000000681000011800,0.000733137829912023,278,1364,0.295708014305976,2248.870000000000004,495.000000000000000,4.543171717171717,166526.929999999999744,49118.000000000000000,3.390344272975284,0.000733137829912023,326,1364,0.336800333967759,2506.509999999999992,596.000000000000000,4.205553691275168,152224.629999999999995,44718.000000000000000,3.404101927635404,0.394572772212246538,0.403399215305275153,0.426001068202536326,0.454516523705120354,4.543171717171717,4.276252631578947,4.543171717171717,4.276252631578947
CA4000431,2018-12-22,201851,201752,2017-12-24,000000681000011800,0.000733137829912013,342,1364,0.344246441722718,2685.250000000000000,576.000000000000000,4.661892361111111,166705.669999999999752,49098.000000000000000,3.395365799014216,0.000733137829912035,283,1364,0.297146852793698,2016.519999999999984,467.000000000000000,4.318029978586724,154241.149999999999979,45185.000000000000000,3.413547637490318,0.386562560793452230,0.392452745981014846,0.426144262582439384,0.451304897768152551,4.661892361111111,4.318029978586724,4.661892361111111,4.318029978586724
CA4000431,2018-12-29,201852,201801,2017-12-31,000000681000011800,0.000733137829912025,326,1364,0.339691033232856,2489.949999999999998,542.000000000000000,4.594003690036900,167179.099999999999766,49173.000000000000000,3.399814939092591,0.000733137829912016,428,1364,0.460650583121075,2980.979999999999998,872.000000000000000,3.418555045871560,157222.129999999999977,46057.000000000000000,3.413642443059687,0.391319399116855000,0.400272373949108538,0.426962419898577038,0.451491811475211000,4.661892361111111,4.318029978586724,4.661892361111111,4.318029978586724
CA4000431,2019-01-05,201901,201802,2018-01-07,000000681000011800,0.000733137829912021,315,1364,0.340825536517397,2311.019999999999998,519.000000000000000,4.452832369942197,166509.139999999999766,48820.000000000000000,3.410674723473986,0.000733137829912016,407,1364,0.427279511740528,3017.049999999999998,882.000000000000000,3.420691609977324,160239.179999999999975,46939.000000000000000,3.413774899337438,0.385182240084435846,0.402965511981172153,0.424658092079275538,0.451017060500021137,4.661892361111111,4.318029978586724,4.661892361111111,4.318029978586724
CA4000431,2019-01-12,201902,201803,2018-01-14,000000681000011800,0.000733137829912025,482,1364,0.501434805574959,3825.709999999999996,1111.000000000000000,3.443483348334833,167317.799999999999764,49049.000000000000000,3.411237741849987,0.000733137829912022,332,1364,0.359967623522203,2239.400000000000001,578.000000000000000,3.874394463667820,162478.579999999999976,47517.000000000000000,3.419377906854389,0.399835807102038846,0.395069528302444384,0.426084155422245365,0.449266109788909250,4.661892361111111,4.318029978586724,4.661892361111111,4.318029978586724
